Date,Precipitation,Temparature,Wind Speed,Humidity,Daylight Hours
2020/1/1,0.0,6.5,3.0,56.0,5.0
2020/1/2,0.0,8.4,3.4,58.0,8.0
2020/1/3,0.0,9.7,3.1,57.0,5.5
2020/1/4,0.0,9.4,4.6,56.0,7.2
2020/1/5,0.0,6.7,3.5,63.0,3.3
2020/1/6,0.0,7.3,2.1,58.0,5.6
2020/1/7,1.0,7.7,5.0,76.0,0.0
2020/1/8,23.0,13.0,7.3,69.0,4.7
2020/1/9,0.0,10.4,3.6,63.0,3.3
2020/1/10,0.0,9.3,3.2,57.0,7.2
2020/1/11,0.0,8.1,2.4,69.0,8.0
2020/1/12,0.0,9.0,2.7,72.0,0.0
2020/1/13,0.0,8.6,5.0,52.0,8.1
2020/1/14,1.5,7.4,1.9,62.0,3.7
2020/1/15,0.5,7.3,3.7,68.0,3.8
2020/1/16,0.0,6.9,2.3,68.0,4.4
2020/1/17,0.0,7.7,2.9,70.0,0.0
2020/1/18,0.0,8.6,3.6,52.0,7.7
2020/1/19,0.0,8.0,2.4,59.0,5.6
2020/1/20,0.0,9.5,3.6,52.0,3.6
2020/1/21,0.0,7.6,4.2,59.0,4.8
2020/1/22,2.0,7.6,3.0,66.0,2.6
2020/1/23,27.0,10.6,5.1,90.0,0.0
2020/1/24,0.0,11.4,2.6,73.0,0.8
2020/1/25,0.0,8.5,4.0,53.0,0.8
2020/1/26,0.0,9.4,2.7,57.0,2.7
2020/1/27,5.0,9.2,12.6,66.0,0.0
2020/1/28,1.0,12.7,9.0,71.0,3.8
2020/1/29,1.0,11.5,4.3,71.0,5.3
2020/1/30,0.5,8.5,3.6,65.0,6.8
2020/1/31,0.0,6.4,4.2,61.0,5.2
2020/2/1,0.0,7.0,3.5,50.0,4.3
2020/2/2,0.0,7.7,1.9,61.0,7.7
2020/2/3,0.0,8.4,3.1,63.0,4.3
2020/2/4,0.0,7.5,2.7,46.0,10.1
2020/2/5,0.0,7.0,4.6,52.0,7.3
2020/2/6,0.0,2.8,5.6,57.0,8.6
2020/2/7,0.0,3.3,1.8,58.0,0.6
2020/2/8,0.0,7.0,3.0,62.0,5.6
2020/2/9,0.0,3.7,5.0,54.0,6.9
2020/2/10,0.0,5.6,3.7,60.0,5.2
2020/2/11,0.0,6.9,2.6,57.0,9.8
2020/2/12,6.0,9.9,3.8,65.0,3.7
2020/2/13,5.0,14.7,3.4,79.0,7.3
2020/2/14,0.0,12.1,2.6,81.0,0.4
2020/2/15,0.0,11.3,2.1,78.0,0.0
2020/2/16,17.0,12.6,5.3,87.0,0.0
2020/2/17,0.0,7.4,7.6,51.0,5.2
2020/2/18,0.0,5.2,6.0,58.0,4.7
2020/2/19,0.0,7.4,2.6,58.0,10.2
2020/2/20,0.0,8.7,2.9,62.0,8.4
2020/2/21,0.0,9.5,1.9,62.0,10.5
2020/2/22,10.0,10.9,3.8,71.0,1.9
2020/2/23,0.0,9.2,3.4,49.0,4.6
2020/2/24,0.0,8.8,2.2,57.0,10.5
2020/2/25,4.5,11.2,3.2,63.0,0.0
2020/2/26,5.0,10.4,3.2,74.0,1.6
2020/2/27,0.5,6.4,4.6,60.0,6.4
2020/2/28,0.0,7.0,2.8,53.0,4.2
2020/2/29,7.0,8.5,3.6,79.0,0.0
2020/3/1,0.0,10.6,2.2,71.0,5.7
2020/3/2,0.0,12.3,4.1,57.0,10.3
2020/3/3,0.0,10.5,2.6,55.0,8.1
2020/3/4,16.0,9.4,3.5,81.0,0.0
2020/3/5,1.5,7.2,4.9,65.0,7.4
2020/3/6,0.0,7.7,3.4,54.0,9.5
2020/3/7,1.5,9.4,3.2,57.0,6.4
2020/3/8,8.5,11.0,6.1,73.0,1.5
2020/3/9,0.0,12.4,1.6,65.0,8.5
2020/3/10,10.0,14.8,4.2,84.0,0.1
2020/3/11,0.0,12.5,4.9,58.0,6.1
2020/3/12,0.0,9.9,2.8,46.0,11.3
2020/3/13,0.0,11.5,2.5,59.0,9.2
2020/3/14,12.0,9.3,2.0,74.0,0.0
2020/3/15,2.5,8.4,4.2,60.0,9.1
2020/3/16,3.0,5.9,4.9,65.0,8.9
2020/3/17,0.0,8.6,2.5,61.0,11.2
2020/3/18,0.0,12.9,2.5,61.0,8.3
2020/3/19,0.0,15.2,3.1,73.0,9.8
2020/3/20,0.0,12.7,5.0,41.0,10.6
2020/3/21,0.0,13.2,2.7,57.0,11.0
2020/3/22,0.0,15.5,2.6,68.0,1.6
2020/3/23,0.0,12.5,4.6,49.0,11.0
2020/3/24,0.0,9.9,4.4,44.0,9.7
2020/3/25,0.0,10.0,2.3,54.0,11.8
2020/3/26,0.0,14.2,2.7,57.0,8.2
2020/3/27,29.5,16.9,2.3,89.0,0.0
2020/3/28,7.5,13.6,2.6,81.0,0.0
2020/3/29,8.5,9.9,3.4,66.0,5.6
2020/3/30,0.0,11.1,3.2,64.0,0.0
2020/3/31,0.0,15.4,7.4,70.0,1.4
2020/4/1,21.0,14.2,8.0,80.0,0.0
2020/4/2,0.0,11.8,4.4,56.0,6.7
2020/4/3,0.0,11.7,2.1,54.0,7.4
2020/4/4,0.0,14.9,3.0,59.0,11.3
2020/4/5,0.0,10.4,5.0,48.0,8.0
2020/4/6,0.0,10.9,3.6,48.0,11.5
2020/4/7,0.0,12.3,3.0,48.0,11.0
2020/4/8,0.0,14.4,2.9,59.0,11.2
2020/4/9,0.0,13.0,3.6,46.0,11.9
2020/4/10,0.0,11.3,4.0,47.0,7.3
2020/4/11,0.0,11.1,2.8,57.0,9.0
2020/4/12,17.0,10.1,8.4,75.0,0.0
2020/4/13,12.0,11.1,7.0,81.0,0.0
2020/4/14,0.5,12.7,4.1,50.0,11.9
2020/4/15,0.0,13.4,2.9,54.0,8.3
2020/4/16,0.0,15.0,2.9,54.0,10.8
2020/4/17,0.0,15.8,4.3,62.0,7.3
2020/4/18,30.0,15.5,5.6,71.0,4.7
2020/4/19,0.0,15.3,3.5,63.0,1.2
2020/4/20,18.5,16.2,5.7,79.0,4.0
2020/4/21,0.0,16.0,4.0,57.0,2.9
2020/4/22,0.0,12.7,4.9,40.0,3.7
2020/4/23,0.0,11.5,5.1,50.0,8.9
2020/4/24,0.0,11.6,3.8,51.0,8.3
2020/4/25,0.0,14.0,3.4,55.0,12.7
2020/4/26,0.0,17.1,3.5,68.0,6.4
2020/4/27,0.0,15.4,2.7,54.0,8.2
2020/4/28,0.0,15.2,2.8,44.0,9.6
2020/4/29,0.0,16.0,3.3,51.0,12.6
2020/4/30,0.0,17.9,3.1,67.0,12.6
2020/5/1,0.0,19.4,3.4,71.0,11.3
2020/5/2,0.0,20.5,3.6,70.0,10.9
2020/5/3,2.0,19.2,2.2,76.0,0.7
2020/5/4,0.5,20.6,4.7,78.0,8.3
2020/5/5,0.0,22.0,2.2,62.0,8.0
2020/5/6,0.0,20.5,3.6,,0.1
2020/5/7,0.0,17.6,4.8,34.0,13.0
2020/5/8,0.0,17.8,3.8,60.0,8.7
2020/5/9,1.5,18.7,2.6,63.0,1.9
2020/5/10,1.5,20.5,4.0,83.0,0.0
2020/5/11,0.5,21.6,3.7,66.0,11.9
2020/5/12,0.0,21.2,3.0,59.0,10.1
2020/5/13,0.0,21.1,4.1,44.0,11.1
2020/5/14,0.0,19.9,3.0,43.0,12.2
2020/5/15,1.5,19.9,2.4,58.0,1.1
2020/5/16,17.5,17.3,5.0,91.0,0.0
2020/5/17,0.0,20.7,1.9,79.0,5.8
2020/5/18,53.0,21.1,3.6,81.0,3.2
2020/5/19,2.5,20.8,5.3,68.0,2.6
2020/5/20,0.0,19.7,4.9,53.0,7.8
2020/5/21,0.0,18.2,4.3,60.0,12.1
2020/5/22,0.0,20.4,3.5,64.0,5.3
2020/5/23,0.0,22.3,4.1,67.0,13.0
2020/5/24,0.0,22.4,3.5,75.0,8.4
2020/5/25,0.0,22.3,3.2,70.0,5.4
2020/5/26,3.5,21.5,2.3,78.0,0.6
2020/5/27,1.5,21.6,3.5,67.0,8.3
2020/5/28,0.0,21.8,3.6,46.0,12.7
2020/5/29,0.0,22.6,3.0,38.0,13.5
2020/5/30,0.0,23.0,3.5,49.0,11.1
2020/5/31,5.0,20.9,4.8,71.0,0.0
2020/6/1,0.0,22.3,3.6,73.0,5.3
2020/6/2,0.0,23.9,3.6,70.0,11.4
2020/6/3,0.0,23.3,2.2,71.0,4.2
2020/6/4,0.0,24.0,2.9,71.0,9.9
2020/6/5,0.0,24.8,3.1,69.0,8.9
2020/6/6,0.0,25.1,1.8,61.0,0.1
2020/6/7,0.0,24.8,3.2,39.0,13.7
2020/6/8,0.0,23.6,4.0,57.0,13.9
2020/6/9,0.0,24.4,3.3,70.0,11.0
2020/6/10,3.5,24.8,2.1,76.0,2.3
2020/6/11,23.5,23.3,3.8,94.0,0.0
2020/6/12,6.5,24.1,3.0,91.0,1.0
2020/6/13,44.5,23.9,3.2,95.0,0.0
2020/6/14,10.5,24.6,3.8,91.0,0.9
