ID,GamePSID,ReleaseYear,Size,is_Digital_game,is_Physical_game
1,3045,2015.0,109.0,0,0
2,3051,2015.0,127.0,0,0
3,6703,2018.0,2682.88,0,0
4,3403,2015.0,1945.6,0,0
5,13176,2021.0,0.0,0,0
6,-2913,0.0,0.0,0,0
7,-4119,0.0,0.0,0,0
8,-4106,0.0,0.0,0,0
9,12156,2021.0,0.0,0,0
10,12157,2021.0,0.0,0,0
11,10196,2019.0,1904.64,0,0
12,8045,2019.0,1914.88,0,0
13,9192,2019.0,3553.28,0,0
14,-5531,0.0,0.0,0,0
15,-5530,0.0,0.0,0,0
16,-5529,0.0,0.0,0,0
17,13861,2021.0,0.0,0,0
18,8145,2019.0,1710.08,0,0
19,8557,2019.0,1884.16,0,0
20,9103,2019.0,2068.48,0,0
21,10741,2020.0,1699.84,0,0
22,5029,2017.0,68.0,0,0
23,14140,2021.0,0.0,0,0
24,14142,2021.0,0.0,0,0
25,3351,2015.0,197.0,0,0
26,11332,2020.0,564.0,0,0
27,5434,2017.0,788.0,0,0
28,4408,2016.0,3686.4,0,0
29,3956,2016.0,4608.0,0,0
30,13113,2021.0,0.0,0,0
31,13114,2021.0,0.0,0,0
32,4692,2016.0,511.0,0,0
33,7376,2018.0,5222.4,0,0
34,7108,2018.0,385.0,0,0
35,6975,2018.0,1484.8,0,0
36,13639,2021.0,0.0,0,0
37,13638,2021.0,0.0,0,0
38,8905,2019.0,1146.88,0,0
39,4624,2016.0,276.0,0,0
40,3308,2015.0,4608.0,0,0
41,3303,2015.0,4597.76,0,0
42,5004,2016.0,4096.0,0,0
43,8025,2019.0,2099.2,0,0
44,8026,2019.0,2099.2,0,0
45,9130,2019.0,989.0,0,0
46,9129,2019.0,989.0,0,0
47,-4834,0.0,0.0,0,0
48,3818,2015.0,688128.0,0,0
49,8440,2019.0,2027.52,0,0
50,8201,2019.0,659.0,0,0
51,8867,2019.0,658.0,0,0
52,9894,2020.0,483.0,0,0
53,9630,2020.0,683.0,0,0
54,6937,2017.0,17141.76,0,0
55,3743,2014.0,7372.8,0,0
56,10236,2020.0,1679.36,0,0
57,7883,2018.0,835.0,0,0
58,12237,2021.0,0.0,0,0
59,7400,2018.0,9697.28,0,0
60,10169,2020.0,9420.8,0,0
61,10170,2020.0,9420.8,0,0
62,3805,2015.0,0.0,0,0
63,2230,2013.0,4300.8,0,0
64,8777,2019.0,376.0,0,0
65,-4917,0.0,0.0,0,0
66,5193,2017.0,1228.8,0,0
67,5221,2017.0,1228.8,0,0
68,6962,2018.0,24903.68,0,0
69,10024,2020.0,7065.6,0,0
70,10215,2020.0,7065.6,0,0
71,-4923,0.0,0.0,0,0
72,8280,2019.0,1996.8,0,0
73,8281,2019.0,1996.8,0,0
74,12413,2021.0,0.0,0,0
75,-4382,0.0,0.0,0,0
76,5079,2017.0,902.0,0,0
77,9420,2020.0,2129.92,0,0
78,9449,2019.0,2129.92,0,0
79,8503,2019.0,7741.44,0,0
80,4629,2016.0,12830.72,0,0
81,7919,2018.0,36177.92,0,0
82,4107,2016.0,150.0,0,0
83,-3345,0.0,0.0,0,0
84,8507,2019.0,115.0,0,0
85,8509,2019.0,115.0,0,0
86,8508,2019.0,124.0,0,0
87,10598,2020.0,71.0,0,0
88,5657,2017.0,2181.12,0,0
89,-3819,0.0,0.0,0,0
90,8198,2019.0,3051.52,0,0
91,10412,2020.0,2897.92,0,0
92,8199,2019.0,3051.52,0,0
93,10413,2020.0,2897.92,0,0
